"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"831","July",2,"Wednesday",2015,"Philadelphia, PA",516,16,0.0300751879699248
"832","July",2,"Wednesday",2016,"Philadelphia, PA",404,57,0.123644251626898
"833","July",2,"Wednesday",2017,"Philadelphia, PA",504,36,0.0666666666666667
"834","July",3,"Friday",2014,"Philadelphia, PA",349,29,0.0767195767195767
"835","July",3,"Friday",2015,"Philadelphia, PA",355,7,0.0193370165745856
"836","July",3,"Friday",2016,"Philadelphia, PA",519,83,0.137873754152824
"837","July",3,"Friday",2017,"Philadelphia, PA",698,59,0.0779392338177015
"838","July",3,"Monday",2014,"Philadelphia, PA",131,5,0.0367647058823529
"839","July",3,"Monday",2015,"Philadelphia, PA",336,34,0.0918918918918919
"840","July",3,"Monday",2016,"Philadelphia, PA",509,57,0.100706713780919
"841","July",3,"Monday",2017,"Philadelphia, PA",792,68,0.0790697674418605
"842","July",3,"Saturday",2014,"Philadelphia, PA",240,8,0.032258064516129
"843","July",3,"Saturday",2015,"Philadelphia, PA",308,2,0.00645161290322581
"844","July",3,"Saturday",2016,"Philadelphia, PA",249,55,0.180921052631579
"845","July",3,"Saturday",2017,"Philadelphia, PA",377,24,0.0598503740648379
"846","July",3,"Sunday",2014,"Philadelphia, PA",50,2,0.0384615384615385
"847","July",3,"Sunday",2015,"Philadelphia, PA",420,24,0.0540540540540541
"848","July",3,"Sunday",2016,"Philadelphia, PA",418,102,0.196153846153846
"849","July",3,"Thursday",2014,"Philadelphia, PA",277,37,0.117834394904459
"850","July",3,"Thursday",2015,"Philadelphia, PA",284,60,0.174418604651163
"851","July",3,"Thursday",2016,"Philadelphia, PA",461,80,0.147874306839187
"852","July",3,"Thursday",2017,"Philadelphia, PA",695,66,0.0867279894875164
"853","July",3,"Tuesday",2014,"Philadelphia, PA",269,3,0.0110294117647059
"854","July",3,"Tuesday",2015,"Philadelphia, PA",218,41,0.158301158301158
"855","July",3,"Tuesday",2016,"Philadelphia, PA",457,70,0.132827324478178
"856","July",3,"Tuesday",2017,"Philadelphia, PA",790,55,0.0650887573964497
"857","July",3,"Wednesday",2014,"Philadelphia, PA",620,8,0.0127388535031847
"858","July",3,"Wednesday",2015,"Philadelphia, PA",239,30,0.111524163568773
"859","July",3,"Wednesday",2016,"Philadelphia, PA",385,75,0.16304347826087
"860","July",3,"Wednesday",2017,"Philadelphia, PA",561,51,0.0833333333333333
"861","July",4,"Friday",2014,"Philadelphia, PA",334,1,0.00298507462686567
"862","July",4,"Friday",2015,"Philadelphia, PA",247,21,0.0783582089552239
