"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"153","Jan.",5,"Monday",2015,"Philadelphia, PA",295,26,0.0809968847352025
"154","Jan.",5,"Monday",2016,"Boston, MA",108,29,0.211678832116788
"155","Jan.",5,"Monday",2016,"New York, NY",272,65,0.192878338278932
"156","Jan.",5,"Monday",2016,"Philadelphia, PA",392,70,0.151515151515152
"157","Jan.",5,"Monday",2017,"Philadelphia, PA",372,73,0.164044943820225
"158","Jan.",5,"Monday",2018,"Philadelphia, PA",229,19,0.0766129032258065
"159","Jan.",5,"Saturday",2015,"Philadelphia, PA",244,25,0.0929368029739777
"160","Jan.",5,"Saturday",2016,"Boston, MA",42,5,0.106382978723404
"161","Jan.",5,"Saturday",2016,"New York, NY",49,9,0.155172413793103
"162","Jan.",5,"Saturday",2016,"Philadelphia, PA",382,56,0.127853881278539
"163","Jan.",5,"Saturday",2017,"Philadelphia, PA",412,125,0.232774674115456
"164","Jan.",5,"Sunday",2016,"Boston, MA",35,24,0.406779661016949
"165","Jan.",5,"Sunday",2016,"New York, NY",137,84,0.380090497737557
"166","Jan.",5,"Sunday",2016,"Philadelphia, PA",400,91,0.185336048879837
"167","Jan.",5,"Sunday",2017,"Philadelphia, PA",287,123,0.3
"168","Jan.",5,"Thursday",2015,"Philadelphia, PA",404,72,0.151260504201681
"169","Jan.",5,"Thursday",2016,"Boston, MA",74,8,0.0975609756097561
"170","Jan.",5,"Thursday",2016,"New York, NY",314,47,0.130193905817175
"171","Jan.",5,"Thursday",2016,"Philadelphia, PA",698,171,0.196777905638665
"172","Jan.",5,"Thursday",2017,"Philadelphia, PA",372,266,0.41692789968652
"173","Jan.",5,"Tuesday",2015,"Philadelphia, PA",256,27,0.0954063604240283
"174","Jan.",5,"Tuesday",2016,"Boston, MA",129,28,0.178343949044586
"175","Jan.",5,"Tuesday",2016,"New York, NY",292,64,0.179775280898876
"176","Jan.",5,"Tuesday",2016,"Philadelphia, PA",458,138,0.231543624161074
"177","Jan.",5,"Tuesday",2017,"Philadelphia, PA",609,134,0.180349932705249
"178","Jan.",5,"Tuesday",2018,"Philadelphia, PA",236,32,0.119402985074627
"179","Jan.",5,"Wednesday",2015,"Philadelphia, PA",294,36,0.109090909090909
"180","Jan.",5,"Wednesday",2016,"Boston, MA",87,19,0.179245283018868
"181","Jan.",5,"Wednesday",2016,"New York, NY",372,58,0.134883720930233
"182","Jan.",5,"Wednesday",2016,"Philadelphia, PA",529,151,0.222058823529412
"183","Jan.",5,"Wednesday",2017,"Philadelphia, PA",589,199,0.25253807106599
"184","Jan.",5,"Wednesday",2018,"Philadelphia, PA",441,99,0.183333333333333
"185","Jan.",6,"Monday",2017,"Philadelphia, PA",334,158,0.321138211382114
"186","Jan.",6,"Tuesday",2017,"Philadelphia, PA",471,168,0.262910798122066
"187","Feb.",1,"Friday",2016,"Boston, MA",88,28,0.241379310344828
"188","Feb.",1,"Friday",2016,"New York, NY",300,48,0.137931034482759
"189","Feb.",1,"Friday",2016,"Philadelphia, PA",399,45,0.101351351351351
"190","Feb.",1,"Friday",2017,"Philadelphia, PA",665,137,0.170822942643392
"191","Feb.",1,"Friday",2018,"Philadelphia, PA",294,19,0.060702875399361
"192","Feb.",1,"Monday",2016,"Boston, MA",194,60,0.236220472440945
"193","Feb.",1,"Monday",2016,"New York, NY",106,36,0.253521126760563
"194","Feb.",1,"Monday",2016,"Philadelphia, PA",421,94,0.18252427184466
"195","Feb.",1,"Saturday",2016,"Boston, MA",184,59,0.242798353909465
"196","Feb.",1,"Saturday",2016,"New York, NY",97,14,0.126126126126126
"197","Feb.",1,"Saturday",2016,"Philadelphia, PA",340,41,0.10761154855643
"198","Feb.",1,"Saturday",2017,"Philadelphia, PA",310,90,0.225
"199","Feb.",1,"Saturday",2018,"Philadelphia, PA",151,14,0.0848484848484849
"200","Feb.",1,"Sunday",2015,"Philadelphia, PA",231,13,0.0532786885245902
"201","Feb.",1,"Sunday",2016,"Boston, MA",60,16,0.210526315789474
"202","Feb.",1,"Sunday",2016,"New York, NY",75,66,0.468085106382979
"203","Feb.",1,"Sunday",2016,"Philadelphia, PA",294,70,0.192307692307692
"204","Feb.",1,"Sunday",2017,"Philadelphia, PA",415,129,0.237132352941176
"205","Feb.",1,"Sunday",2018,"Philadelphia, PA",176,10,0.0537634408602151
"206","Feb.",1,"Thursday",2016,"Boston, MA",141,54,0.276923076923077
"207","Feb.",1,"Thursday",2016,"New York, NY",246,64,0.206451612903226
"208","Feb.",1,"Thursday",2016,"Philadelphia, PA",589,126,0.176223776223776
"209","Feb.",1,"Thursday",2017,"Philadelphia, PA",635,138,0.178525226390686
"210","Feb.",1,"Thursday",2018,"Philadelphia, PA",470,46,0.0891472868217054
"211","Feb.",1,"Tuesday",2016,"Boston, MA",181,137,0.430817610062893
"212","Feb.",1,"Tuesday",2016,"New York, NY",239,87,0.266871165644172
"213","Feb.",1,"Tuesday",2016,"Philadelphia, PA",498,163,0.246596066565809
"214","Feb.",1,"Wednesday",2016,"Boston, MA",145,70,0.325581395348837
"215","Feb.",1,"Wednesday",2016,"New York, NY",207,54,0.206896551724138
"216","Feb.",1,"Wednesday",2016,"Philadelphia, PA",392,97,0.198364008179959
"217","Feb.",1,"Wednesday",2017,"Philadelphia, PA",673,196,0.225546605293441
"218","Feb.",2,"Friday",2015,"Philadelphia, PA",266,30,0.101351351351351
"219","Feb.",2,"Friday",2016,"Boston, MA",469,97,0.171378091872792
"220","Feb.",2,"Friday",2016,"New York, NY",241,38,0.136200716845878
"221","Feb.",2,"Friday",2016,"Philadelphia, PA",569,101,0.150746268656716
"222","Feb.",2,"Friday",2017,"Philadelphia, PA",516,140,0.213414634146341
"223","Feb.",2,"Friday",2018,"Philadelphia, PA",508,85,0.143338954468803
"224","Feb.",2,"Monday",2015,"Philadelphia, PA",450,35,0.0721649484536082
"225","Feb.",2,"Monday",2016,"Boston, MA",57,5,0.0806451612903226
"226","Feb.",2,"Monday",2016,"New York, NY",97,16,0.141592920353982
"227","Feb.",2,"Monday",2016,"Philadelphia, PA",482,70,0.126811594202899
"228","Feb.",2,"Monday",2017,"Philadelphia, PA",526,110,0.172955974842767
"229","Feb.",2,"Monday",2018,"Philadelphia, PA",477,12,0.0245398773006135
"230","Feb.",2,"Saturday",2015,"Philadelphia, PA",281,27,0.0876623376623377
"231","Feb.",2,"Saturday",2016,"Boston, MA",432,69,0.137724550898204
"232","Feb.",2,"Saturday",2016,"New York, NY",245,59,0.194078947368421
"233","Feb.",2,"Saturday",2016,"Philadelphia, PA",296,24,0.075
"234","Feb.",2,"Saturday",2017,"Philadelphia, PA",419,107,0.203422053231939
"235","Feb.",2,"Saturday",2018,"Philadelphia, PA",282,44,0.134969325153374
"236","Feb.",2,"Sunday",2015,"Philadelphia, PA",172,8,0.0444444444444444
"237","Feb.",2,"Sunday",2016,"Boston, MA",342,142,0.293388429752066
"238","Feb.",2,"Sunday",2016,"New York, NY",110,83,0.430051813471503
