"","date","topic","city_state","smoothed_mean_within_day","year"
"215",2014-07-09,"Disaster","Philadelphia, PA",5.98495868634054,2014
"216",2014-07-09,"Sports","Philadelphia, PA",3.98124716556768,2014
"217",2014-07-09,"Weather","Philadelphia, PA",9.29371253651104,2014
"218",2014-07-10,"Politics","Philadelphia, PA",3.21261851039909,2014
"219",2014-07-10,"National Politics","Philadelphia, PA",1.08018013058254,2014
"220",2014-07-10,"Local Politics","Philadelphia, PA",2.19473265724517,2014
"221",2014-07-10,"Crime","Philadelphia, PA",8.2654223350646,2014
"222",2014-07-10,"Disaster","Philadelphia, PA",5.95458151721401,2014
"223",2014-07-10,"Sports","Philadelphia, PA",4.00519380944631,2014
"224",2014-07-10,"Weather","Philadelphia, PA",9.25333985271807,2014
"225",2014-07-11,"Politics","Philadelphia, PA",3.2082958526925,2014
"226",2014-07-11,"National Politics","Philadelphia, PA",1.08050544884357,2014
"227",2014-07-11,"Local Politics","Philadelphia, PA",2.19424041802762,2014
"228",2014-07-11,"Crime","Philadelphia, PA",8.26884092591394,2014
"229",2014-07-11,"Disaster","Philadelphia, PA",5.92460020182298,2014
"230",2014-07-11,"Sports","Philadelphia, PA",4.02889972223378,2014
"231",2014-07-11,"Weather","Philadelphia, PA",9.21362025342582,2014
"232",2014-07-12,"Politics","Philadelphia, PA",3.20408296843431,2014
"233",2014-07-12,"National Politics","Philadelphia, PA",1.08087198996973,2014
"234",2014-07-12,"Local Politics","Philadelphia, PA",2.19378940075803,2014
"235",2014-07-12,"Crime","Philadelphia, PA",8.27234375708353,2014
"236",2014-07-12,"Disaster","Philadelphia, PA",5.89501634481995,2014
"237",2014-07-12,"Sports","Philadelphia, PA",4.05236613193128,2014
"238",2014-07-12,"Weather","Philadelphia, PA",9.1745567467825,2014
"239",2014-07-13,"Politics","Philadelphia, PA",3.1999814769774,2014
"240",2014-07-13,"National Politics","Philadelphia, PA",1.08128056603066,2014
"241",2014-07-13,"Local Politics","Philadelphia, PA",2.1933807064233,2014
"242",2014-07-13,"Crime","Philadelphia, PA",8.27593338605964,2014
"243",2014-07-13,"Disaster","Philadelphia, PA",5.8658315508574,2014
"244",2014-07-13,"Sports","Philadelphia, PA",4.07559426654,2014
"245",2014-07-13,"Weather","Philadelphia, PA",9.13615234093631,2014
"246",2014-07-14,"Politics","Philadelphia, PA",3.19599299767466,2014
"247",2014-07-14,"National Politics","Philadelphia, PA",1.08173198909601,2014
"248",2014-07-14,"Local Politics","Philadelphia, PA",2.1930154360103,2014
"249",2014-07-14,"Crime","Philadelphia, PA",8.27961237032858,2014
"250",2014-07-14,"Disaster","Philadelphia, PA",5.83704742458784,2014
"251",2014-07-14,"Sports","Philadelphia, PA",4.09858535406114,2014
"252",2014-07-14,"Weather","Philadelphia, PA",9.09841004403545,2014
"253",2014-07-15,"Politics","Philadelphia, PA",3.19211914987898,2014
"254",2014-07-15,"National Politics","Philadelphia, PA",1.08222707123541,2014
"255",2014-07-15,"Local Politics","Philadelphia, PA",2.19269469050592,2014
"256",2014-07-15,"Crime","Philadelphia, PA",8.28338326737662,2014
"257",2014-07-15,"Disaster","Philadelphia, PA",5.80866557066376,2014
"258",2014-07-15,"Sports","Philadelphia, PA",4.12134062249589,2014
"259",2014-07-15,"Weather","Philadelphia, PA",9.06133286422812,2014
"260",2014-07-16,"Politics","Philadelphia, PA",3.18836155294324,2014
"261",2014-07-16,"National Politics","Philadelphia, PA",1.0827666245185,2014
"262",2014-07-16,"Local Politics","Philadelphia, PA",2.19241957089703,2014
"263",2014-07-16,"Crime","Philadelphia, PA",8.28724863469005,2014
"264",2014-07-16,"Disaster","Philadelphia, PA",5.78068759373765,2014
"265",2014-07-16,"Sports","Philadelphia, PA",4.14386129984543,2014
"266",2014-07-16,"Weather","Philadelphia, PA",9.0249238096625,2014
"267",2014-07-17,"Politics","Philadelphia, PA",3.18472182622033,2014
"268",2014-07-17,"National Politics","Philadelphia, PA",1.08335146101494,2014
"269",2014-07-17,"Local Politics","Philadelphia, PA",2.19219117817053,2014
"270",2014-07-17,"Crime","Philadelphia, PA",8.29121102975516,2014
"271",2014-07-17,"Disaster","Philadelphia, PA",5.75311509846201,2014
"272",2014-07-17,"Sports","Philadelphia, PA",4.16614861411097,2014
"273",2014-07-17,"Weather","Philadelphia, PA",8.98918588848681,2014
"274",2014-07-18,"Politics","Philadelphia, PA",3.18120158906313,2014
"275",2014-07-18,"National Politics","Philadelphia, PA",1.08398239279435,2014
"276",2014-07-18,"Local Politics","Philadelphia, PA",2.19201061331328,2014
"277",2014-07-18,"Crime","Philadelphia, PA",8.29527301005824,2014
"278",2014-07-18,"Disaster","Philadelphia, PA",5.72594968948934,2014
"279",2014-07-18,"Sports","Philadelphia, PA",4.18820379329369,2014
"280",2014-07-18,"Weather","Philadelphia, PA",8.95412210884924,2014
"281",2014-07-19,"Politics","Philadelphia, PA",3.17780246082454,2014
"282",2014-07-19,"National Politics","Philadelphia, PA",1.08466023192639,2014
"283",2014-07-19,"Local Politics","Philadelphia, PA",2.19187897731218,2014
"284",2014-07-19,"Crime","Philadelphia, PA",8.29943713308556,2014
"285",2014-07-19,"Disaster","Philadelphia, PA",5.69919297147213,2014
"286",2014-07-19,"Sports","Philadelphia, PA",4.21002806539478,2014
"287",2014-07-19,"Weather","Philadelphia, PA",8.91973547889799,2014
"288",2014-07-20,"Politics","Philadelphia, PA",3.17452606085744,2014
"289",2014-07-20,"National Politics","Philadelphia, PA",1.08538579048069,2014
"290",2014-07-20,"Local Politics","Philadelphia, PA",2.1917973711541,2014
"291",2014-07-20,"Crime","Philadelphia, PA",8.30370595632342,2014
"292",2014-07-20,"Disaster","Philadelphia, PA",5.67284654906288,2014
"293",2014-07-20,"Sports","Philadelphia, PA",4.23162265841545,2014
"294",2014-07-20,"Weather","Philadelphia, PA",8.88602900678125,2014
"295",2014-07-21,"Politics","Philadelphia, PA",3.17137400851472,2014
"296",2014-07-21,"National Politics","Philadelphia, PA",1.08615988052689,2014
"297",2014-07-21,"Local Politics","Philadelphia, PA",2.19176689582593,2014
"298",2014-07-21,"Crime","Philadelphia, PA",8.3080820372581,2014
"299",2014-07-21,"Disaster","Philadelphia, PA",5.64691202691409,2014
"300",2014-07-21,"Sports","Philadelphia, PA",4.25298880035688,2014
"301",2014-07-21,"Weather","Philadelphia, PA",8.85300570064723,2014
"302",2014-07-22,"Politics","Philadelphia, PA",3.16834792314926,2014
"303",2014-07-22,"National Politics","Philadelphia, PA",1.08698331413464,2014
"304",2014-07-22,"Local Politics","Philadelphia, PA",2.19178865231455,2014
"305",2014-07-22,"Crime","Philadelphia, PA",8.3125679333759,2014
"306",2014-07-22,"Disaster","Philadelphia, PA",5.62139100967824,2014
"307",2014-07-22,"Sports","Philadelphia, PA",4.27412771922026,2014
"308",2014-07-22,"Weather","Philadelphia, PA",8.82066856864412,2014
"309",2014-07-23,"Politics","Philadelphia, PA",3.16544942411395,2014
